flow_id,3-tuple,down_min_len,up_slice_max,down_slice_max,top_10_bytes_ratio,down_pkt_standard_deviation,min_interval,down_slice_std,sport,dport,up_slice_std,up_slice_mean,down_bytes,bytes_ratio,flow_byte/s_raito,down_slice_mean,up_interval_std,up_bytes,sum_bytes,top_10_byte/s,min_len,pkt_ratio,flow_pkt/s_raito,down_byte/s,pkt_standard_deviation,flow_byte/s,down_max_interval,up_max_interval,up_pkt_standard_deviation,down_pkt/s,up_byte/s,up_pkt/s,top_10_time_min_interval,flow_pkt/s,down_interval_std,top_10_pkt_std,up_pkt_mean,up_max_len,max_len,up_slice_min,up_pkt_nums,tag,real_tag
172.16.114.169_194.27.251.21_1029_25_6_898690657.966763,194.27.251.21_25_6,73,2,1,0.787,19.195,0.0002199411392211,0.0,1029,25,0.3499271061118826,1.1428571428571428,758,2.203,2.203,1.0,0.0060133234859716,1670,2428,19543.478,60,1.0,1.0,11147.059,240.114,35705.882,0.021399,0.018477,329.307,117.647,24558.824,117.647,0.0002310276031494,235.294,0.0076523271333337,19.22212267154697,208.75,1078,1078,1,8,6,6
172.16.114.169_194.7.248.153_1048_25_6_898690659.060233,194.7.248.153_25_6,73,2,1,0.788,19.105,0.0002310276031494,0.0,1048,25,0.3499271061118826,1.1428571428571428,760,2.2,2.2,1.0,0.0074207419041604,1672,2432,180600.0,60,1.0,1.0,18095.238,240.048,57904.762,0.036528,0.019087,329.216,190.476,39809.524,190.476,0.0002310276031494,380.952,0.0133167501718282,19.18879881597595,209.0,1078,1078,1,8,6,6
172.16.114.169_197.182.91.233_1049_25_6_898690660.129716,197.182.91.233_25_6,73,2,1,0.844,17.543,0.0002219676971435,0.0,1049,25,0.3142696805273545,1.1111111111111112,938,1.973,1.973,1.0,0.0042646752499638,1851,2789,187000.0,60,1.0,1.0,37520.0,216.179,111560.0,0.017411,0.014511,298.314,400.0,74040.0,400.0,0.0002260208129882,800.0,0.0055013861420895,16.602710622064098,185.1,1078,1078,1,10,6,6
172.16.114.169_195.115.218.108_1051_25_6_898690661.178065,195.115.218.108_25_6,73,2,1,0.786,19.423,0.0002319812774658,0.0,1051,25,0.3499271061118826,1.1428571428571428,760,2.199,2.199,1.0,0.007260701382885,1671,2431,150333.333,60,1.0,1.0,17674.419,240.077,56534.884,0.036065,0.017329,329.261,186.047,38860.465,186.047,0.0002319812774658,372.093,0.0131425492157681,19.446336415890784,208.875,1078,1078,1,8,6,6
172.16.114.169_196.227.33.189_1052_25_6_898690662.238028,196.227.33.189_25_6,73,2,1,0.787,19.195,0.0002340078353881,0.0,1052,25,0.3499271061118826,1.1428571428571428,758,2.203,2.203,1.0,0.0071874818530383,1670,2428,179800.0,60,1.0,1.0,18047.619,240.114,57809.524,0.03585,0.017657,329.307,190.476,39761.905,190.476,0.0002340078353881,380.952,0.0130631386021464,19.22212267154697,208.75,1078,1078,1,8,6,6
172.16.114.169_135.8.60.182_1104_25_6_898690665.310694,135.8.60.182_25_6,73,2,1,0.788,19.105,0.0002390146255493,0.0,1104,25,0.3499271061118826,1.1428571428571428,760,2.2,2.2,1.0,0.0062706136795665,1672,2432,150500.0,60,1.0,1.0,20000.0,240.048,64000.0,0.031669,0.015471,329.216,210.526,44000.0,210.526,0.0002390146255493,421.053,0.0115027074023176,19.18879881597595,209.0,1078,1078,1,8,6,6
172.16.114.207_196.227.33.189_1107_25_6_898690703.174662,196.227.33.189_25_6,73,1,1,0.794,19.423,0.0002379417419433,0.0,1107,25,0.0,1.0,764,1.894,1.894,1.0,0.0022972736316966,1447,2211,19847.826,60,0.875,0.875,15280.0,224.102,44220.0,0.002857,0.007238,317.16,160.0,28940.0,140.0,0.0002669095993041,300.0,0.0007412915343431,19.375499993548555,206.7142857142857,983,983,1,7,6,6
172.16.112.194_196.37.75.158_1109_25_6_898690712.305061,196.37.75.158_25_6,73,1,1,0.791,20.056,0.0002180337905883,0.0,1109,25,0.0,1.0,771,1.357,1.357,1.0,0.0027992962012302,1046,1817,20533.333,60,0.875,0.875,15734.694,123.609,37081.633,0.002069,0.008554,175.443,163.265,21346.939,142.857,0.000248908996582,306.122,0.0004585977721998,19.99099797408824,149.42857142857142,578,578,1,7,6,6
172.16.112.194_196.227.33.189_1110_25_6_898690713.380062,196.227.33.189_25_6,73,1,1,0.795,19.325,0.0002120733261108,0.0,1110,25,0.0,1.0,766,1.363,1.363,1.0,0.0003576322210813,1044,1810,183400.0,60,0.875,0.875,95750.0,123.646,226250.0,0.001998,0.001797,175.538,1000.0,130500.0,875.0,0.0002249479293823,1875.0,0.0004483350681502,19.31346680427934,149.14285714285714,578,578,1,7,6,6
172.16.113.204_196.227.33.189_2677_25_6_898690840.202854,196.227.33.189_25_6,73,2,1,0.792,19.242,0.0002230405807495,0.0,2677,25,0.3499271061118826,1.1428571428571428,764,2.597,2.597,1.0,0.0061705229196593,1984,2748,17882.353,60,1.0,1.0,10760.563,249.887,38704.225,0.019601,0.016725,335.989,112.676,27943.662,112.676,0.0002360343933105,225.352,0.0069861481379624,19.30699355156053,248.0,1078,1078,1,8,6,6
172.16.113.105_194.27.251.21_2678_25_6_898690849.375537,194.27.251.21_25_6,73,1,1,0.795,19.48,0.0001699924468994,0.0,2678,25,0.0,1.0,763,1.524,1.524,1.0,0.0046328701926799,1163,1926,17882.353,60,0.875,0.875,13872.727,153.628,35018.182,0.002287,0.013538,217.877,145.455,21145.455,127.273,0.000230073928833,272.727,0.0005422199481965,19.286264542414635,166.14285714285714,699,699,1,7,6,6
